year,plot_nidcatch,plot_indcatch,plot_catch,plot_nidcatch_detrend,plot_indcatch_detrend,plot_catch_detrend
1950,104.07755,86.482315,190.55986,244.84627,447.14893,691.99518
1951,287.54901,157.57867,445.12769,272.95667,559.69458,832.65125
1952,318.94299,201.79227,520.73523,274.35712,520.77301,795.13013
1953,313.93723,209.23134,523.16852,238.37018,444.00601,682.37622
1954,330.96957,216.45357,547.4231,202.16638,389.27716,591.44354
1955,347.64569,218.25325,565.89899,160.54007,334.19211,494.73215
1956,356.30743,231.09146,587.39893,129.95224,271.09262,401.04486
1957,333.49045,233.68478,567.17523,89.119545,176.51442,265.63397
1958,351.40665,247.14053,598.54718,59.149277,122.66942,181.8187
1959,332.63025,247.43329,580.06354,16.016018,32.131805,48.14782
1960,356.05646,258.22617,614.28259,-16.617128,-16.203201,-32.820328
1961,427.45071,294.72888,722.17963,-23.540421,-16.570154,-40.110565
1962,455.41446,310.93939,766.35382,-50.755951,-60.367603,-111.12354
1963,479.81265,308.62918,788.44183,-96.492165,-107.73061,-204.22278
1964,497.72766,346.87756,844.60522,-101.66982,-161.57683,-263.24664
1965,560.79681,386.78513,947.58191,-105.18827,-170.26891,-275.45718
1966,639.16693,439.85107,1079.0181,-95.54834,-163.65994,-259.20828
1967,604.32251,436.0986,1040.4211,-142.72684,-270.26559,-412.99243
1968,687.91003,463.38925,1151.2993,-158.8622,-258.43927,-417.30148
1969,720.44012,483.79919,1204.2394,-181.87828,-297.67041,-479.54868
1970,929.8363,556.14935,1485.9856,-152.95415,-160.03543,-312.98956
1971,860.95923,596.59296,1457.5522,-155.93657,-300.67368,-456.61023
1972,798.90796,624.94843,1423.8563,-171.00711,-434.48621,-605.49329
1973,1048.4836,703.05597,1751.5397,-136.32556,-256.67172,-392.99728
1974,817.11804,653.26001,1470.3781,-229.54756,-559.79852,-789.34607
1975,752.90228,710.04156,1462.9438,-216.19203,-695.77545,-911.96753
1976,872.29498,797.59772,1669.8927,-172.06187,-648.14398,-820.20593
1977,1522.1163,1105.6074,2627.7239,92.521782,-70.083809,22.43796
1978,1519.7045,1245.8164,2765.521,189.30481,-144.25693,45.047871
1979,1473.0419,1637.7257,3110.7676,537.78809,-262.68073,275.10742
1980,1525.5625,969.1626,2494.7251,-174.2011,-281.92126,-456.12238
1981,1556.9426,1054.1106,2611.0532,-132.67905,-322.30231,-454.98138
1982,1645.8103,1095.4282,2741.2385,-134.78746,-305.19592,-439.98337
1983,1739.417,1138.6643,2878.0813,-134.9774,-283.35046,-418.32785
1984,1734.415,1258.2899,2992.7048,-58.777905,-360.11359,-418.89148
1985,1843.4897,1101.5861,2945.0757,-258.90775,-322.80014,-581.70789
1986,2026.4558,1165.2278,3191.6836,-238.69199,-211.59529,-450.28729
1987,2200.1365,1204.2396,3404.3762,-243.10614,-109.67574,-352.78186
1988,2156.9358,1239.6608,3396.5967,-251.11105,-224.63762,-475.74866
1989,2648.5759,1449.4716,4098.0474,-84.726334,195.24123,110.51489
1990,2726.7593,1508.7943,4235.5537,-68.829544,201.6633,132.83377
1991,2721.9287,1598.0283,4319.957,-23.021576,125.07153,102.04995
1992,2877.8501,1755.5602,4633.4102,91.084305,209.2317,300.31601
1993,3163.9709,1632.1976,4796.1685,-75.704277,423.59149,347.88721
1994,3332.6274,1720.6281,5053.2554,-30.699938,520.48682,489.7869
1995,3253.8108,1851.3549,5105.1655,56.600834,369.90887,426.5097
1996,3719.3103,1914.778,5634.0884,76.598,763.64722,840.2453
1997,3945.2964,1941.577,5886.8735,59.971039,917.87213,977.84314
1998,3856.259,2015.5991,5871.8579,90.567039,757.07336,847.64044
1999,3504.145,2133.3425,5637.4873,164.88437,333.19833,498.08267
2000,3235.4109,2274.9136,5510.3247,263.02957,-7.2970257,255.73248
2001,3721.4839,2194.3525,5915.8364,139.04253,407.01474,546.05725
2002,3035.8442,2247.2644,5283.1089,148.52829,-350.38605,-201.8578
2003,3550.4304,2316.5901,5867.0205,174.42784,92.438843,266.86676
2004,3408.4319,2500.0967,5908.5288,314.50845,-121.32085,193.18762
2005,3584.2861,2281.7249,5866.0107,52.710594,-17.22785,35.48267
2006,3647.2764,2150.6885,5797.9648,-121.75172,-25.998802,-147.75052
2007,3675.8884,2278.2834,5954.1719,-37.58279,-69.148102,-106.73091
2008,3518.4736,2258.8245,5777.2979,-100.46785,-298.32394,-398.7919
2009,3662.6108,2315.1897,5977.8003,-87.528641,-225.948,-313.47656
2010,3977.2798,2335.521,6312.8008,-110.62323,16.959759,-93.66349
2011,3960.4519,2471.5076,6431.9595,-18.062647,-71.62941,-89.692017
2012,3921.0581,2663.5259,6584.584,130.52946,-182.78442,-52.254944
2013,3969.4319,2779.7405,6749.1724,203.31802,-206.17184,-2.8537621
2014,4571.2646,2703.6917,7274.9561,83.843376,323.89963,407.74301
2015,4417.5146,2700.085,7117.5996,36.810448,98.388573,135.19908
